,min,max
Band_1,-0.0120000001043081,1.5809999704361
Band_2,-0.0126000000163913,1.57410001754761
Band_3,-0.0119000002741814,1.5871000289917
Band_4,-0.0087999999523162,1.59590005874634
Band_5,-0.0093000000342726,1.603600025177
Band_6,-0.0089999996125698,1.605299949646
Band_7,-0.0076999999582767,1.60950005054474
Band_8,-0.0074999998323619,1.61380004882813
Band_9,-0.0065999999642372,1.6088000535965
Band_10,-0.0052999998442828,1.6085000038147
Band_11,-0.0027999999001622,1.6055999994278
Band_12,-0.0041000000201165,1.60109996795654
Band_13,-0.0040000001899898,1.5974999666214
Band_14,-0.0031999999191612,1.59360003471375
Band_15,-0.0003000000142492,1.59790003299713
Band_16,-0.0028999999631196,1.58700001239777
Band_17,-0.0019000000320375,1.58430004119873
Band_18,-0.0007999999797903,1.58560001850128
Band_19,-0.0010999999940395,1.57879996299744
Band_20,-0.0006999999750405,1.58120000362396
Band_21,0.00089999998454,1.59099996089935
Band_22,0.0027999999001622,1.59549999237061
Band_23,0.001700000022538,1.58640003204346
Band_24,0.0020999999251216,1.57910001277924
Band_25,0.0043999999761581,1.58539998531342
Band_26,0.0035999999381601,1.58440005779266
Band_27,0.0035000001080334,1.58239996433258
Band_28,0.0043000001460313,1.58060002326965
Band_29,0.0043999999761581,1.57850003242493
Band_30,0.0043999999761581,1.57140004634857
Band_31,0.0052000000141561,1.57469999790192
Band_32,0.0052999998442828,1.57309997081757
Band_33,0.0054999999701976,1.57169997692108
Band_34,0.0048000002279877,1.57019996643066
Band_35,0.0027000000700354,1.5673999786377
Band_36,0.003000000026077,1.56420004367828
Band_37,0.0013999999500811,1.56550002098084
Band_38,0.0005000000237487,1.56410002708435
Band_39,9.99999974737875e-05,1.5628000497818
Band_40,-9.99999974737875e-05,1.55719995498657
Band_41,0.0,1.55920004844666
Band_42,0.0001999999949475,1.55200004577637
Band_43,-9.99999974737875e-05,1.54499995708466
Band_44,9.99999974737875e-05,1.54820001125336
Band_45,9.99999974737875e-05,1.54069995880127
Band_46,-9.99999974737875e-05,1.53269994258881
Band_47,-0.0003000000142492,1.52980005741119
Band_48,9.99999974737875e-05,1.53020000457764
Band_49,9.99999974737875e-05,1.52900004386902
Band_50,0.0,1.52709996700287
Band_51,9.99999974737875e-05,1.52569997310638
Band_52,-0.0003000000142492,1.52409994602203
Band_53,-0.0007999999797903,1.52260005474091
Band_54,-0.0013999999500811,1.52199995517731
Band_55,-0.0019000000320375,1.51960003376007
Band_56,-0.0023000000510364,1.4974000453949
Band_57,-0.0027999999001622,1.48479998111725
Band_58,-0.002600000007078,1.4753999710083
Band_59,-0.0027000000700354,1.46150004863739
Band_60,-0.0028999999631196,1.44879996776581
Band_61,-0.0007999999797903,1.44490003585815
Band_62,-0.0027999999001622,1.38740003108978
Band_63,-0.0012000000569969,1.39230000972748
Band_64,-0.0020000000949949,1.38139998912811
Band_65,-0.0005000000237487,1.36510002613068
Band_66,-0.0012000000569969,1.35189998149872
Band_67,-0.0006999999750405,1.34350001811981
Band_68,-0.0010000000474974,1.34159994125366
Band_69,-0.00089999998454,1.34329998493195
Band_70,-0.0012000000569969,1.34010004997253
Band_71,-0.0010000000474974,1.34189999103546
Band_72,-0.0007999999797903,1.32840001583099
Band_73,9.99999974737875e-05,1.31669998168945
Band_74,-0.0010000000474974,1.29949998855591
Band_75,-0.0003000000142492,1.27760004997253
Band_76,-0.0006999999750405,1.2438999414444
Band_77,-9.99999974737875e-05,1.21410000324249
Band_78,0.0005000000237487,1.18069994449615
Band_79,0.0003999999898951,1.14730000495911
Band_80,0.0013666667509824,1.13963329792023
Band_81,0.0011333333095535,1.12203335762024
Band_82,0.0011333333095535,1.11673331260681
Band_83,0.0008666667272336,1.10273325443268
Band_84,0.0017333334544673,1.11440002918243
Band_85,0.0015333333285525,1.09846675395966
Band_86,0.001700000022538,1.08990001678467
Band_87,0.0006666666595265,1.05099999904633
Band_88,0.0008666667272336,1.02730000019073
Band_89,0.0003666666743811,0.997200012207031
Band_90,0.0012000000569969,0.977333307266235
Band_91,0.0001999999949475,0.952600002288818
Band_92,0.0015000000130385,0.932099997997284
Band_93,0.0015333333285525,0.921400010585785
Band_94,0.0049000000581145,0.899999976158142
Band_95,0.004266666714102,0.902266681194305
Band_96,0.0077999997884035,0.873433291912079
Band_97,0.0058666667900979,0.872933328151703
Band_98,0.0107000004500151,0.84143328666687
Band_99,0.0105333337560296,0.817333340644836
Band_100,0.010499999858439,0.805333375930786
Band_101,0.0059000002220273,0.79833334684372
Band_102,0.0027999999001622,0.792100012302399
Band_103,0.0031999999191612,0.779399991035461
Band_104,0.0035999999381601,0.788399994373322
Band_105,0.0035999999381601,0.797299981117249
Band_106,0.0038000000640749,0.802100002765656
Band_107,0.0038999998942017,0.843999981880188
Band_108,0.0046999999321997,0.879899978637695
Band_109,0.0040000001899898,0.896799981594086
Band_110,0.0043999999761581,0.888999998569489
Band_111,0.0044999998062849,0.862100005149841
Band_112,0.0038000000640749,0.799799978733063
Band_113,0.003000000026077,0.765900015830994
Band_114,0.0035999999381601,0.739300012588501
Band_115,0.0041999998502433,0.709299981594086
Band_116,0.0052000000141561,0.706900000572205
Band_117,0.0054999999701976,0.700299978256226
Band_118,0.0051000001840293,0.697000026702881
Band_119,0.0049000000581145,0.696600019931793
Band_120,0.0052000000141561,0.699500024318695
Band_121,0.0057000000961124,0.705900013446808
Band_122,0.0049999998882412,0.71289998292923
Band_123,0.0057999999262392,0.722599983215332
Band_124,0.0065999999642372,0.719500005245209
Band_125,0.0086000002920627,0.725199997425079
Band_126,0.006000000052154,0.7257000207901
Band_127,0.0065000001341104,0.726100027561188
Band_128,0.0063000000081956,0.723200023174286
Band_129,0.0054000001400709,0.714699983596802
Band_130,-0.0140000004321337,0.594299972057343
Band_131,-0.0078999996185302,0.567099988460541
Band_132,-0.0027000000700354,0.568400025367737
Band_133,0.0020000000949949,0.572099983692169
Band_134,0.0060999998822808,0.568199992179871
Band_135,0.0062000001780688,0.57889997959137
Band_136,0.0049000000581145,0.580399990081787
Band_137,0.0071000000461936,0.585600018501282
Band_138,0.0062000001780688,0.593400001525879
Band_139,0.0076999999582767,0.59799998998642
Band_140,0.0071000000461936,0.603200018405914
Band_141,0.0081000002101063,0.611599981784821
Band_142,0.0083999997004866,0.617699980735779
Band_143,0.0078999996185302,0.624400019645691
Band_144,0.0074999998323619,0.63129997253418
Band_145,0.0057000000961124,0.637700021266937
Band_146,0.0059000002220273,0.637799978256226
Band_147,0.0091000003740191,0.641499996185303
Band_148,0.0080000003799796,0.646399974822998
Band_149,0.008500000461936,0.650799989700317
Band_150,0.0089999996125698,0.64520001411438
Band_151,0.008899999782443,0.644599974155426
Band_152,0.0086000002920627,0.641200006008148
Band_153,0.0071000000461936,0.64190000295639
Band_154,0.0086000002920627,0.640200018882752
Band_155,0.0062000001780688,0.639699995517731
Band_156,0.0054000001400709,0.641099989414215
Band_157,0.0089999996125698,0.64300000667572
Band_158,-0.0912000015377998,0.516200006008148
Band_159,-0.0264999996870756,0.516799986362457
Band_160,-0.0315999984741211,0.435499995946884
Band_161,-0.0024999999441206,0.496899992227554
Band_162,0.00179999996908,0.519599974155426
Band_163,0.0023000000510364,0.544300019741058
Band_164,0.0027999999001622,0.5314000248909
Band_165,-0.0010999999940395,0.477200001478195
Band_166,-0.0024000001139938,0.497299998998642
Band_167,-0.0083999997004866,0.541499972343445
Band_168,0.0,0.538699984550476
Band_169,0.0032999999821186,0.542400002479553
Band_170,0.0035999999381601,0.517199993133545
Band_171,0.0051000001840293,0.513899981975555
Band_172,0.003000000026077,0.516799986362457
Band_173,0.0037000000011175,0.532400012016296
Band_174,0.0049000000581145,0.526799976825714
Band_175,0.0054000001400709,0.525200009346008
Band_176,-0.001300000003539,0.52700001001358
Band_177,0.0062000001780688,0.52810001373291
Band_178,0.0065000001341104,0.521700024604797
Band_179,0.0077999997884035,0.526300013065338
Band_180,0.0073000001721084,0.525699973106384
Band_181,0.0082000000402331,0.534099996089935
Band_182,0.0071000000461936,0.527400016784668
Band_183,0.0087000001221895,0.527199983596802
Band_184,0.0082000000402331,0.527499973773956
Band_185,0.0087000001221895,0.526799976825714
Band_186,0.0082000000402331,0.524900019168854
Band_187,0.0086000002920627,0.52020001411438
Band_188,0.0083999997004866,0.516099989414215
Band_189,0.0094999996945262,0.512499988079071
Band_190,0.0073000001721084,0.513300001621246
Band_191,0.0093000000342726,0.516099989414215
Band_192,0.0086000002920627,0.513999998569489
Band_193,0.0089999996125698,0.501500010490418
Band_194,0.0071999998763203,0.483200013637543
Band_195,0.009800000116229,0.482699990272522
Band_196,0.0074000000022351,0.48199999332428
Band_197,0.0080000003799796,0.485700011253357
Band_198,0.0076000001281499,0.475699990987778
Band_199,0.0078999996185302,0.471500009298325
Band_200,0.0063999998383224,0.467299997806549
Band_201,0.0074999998323619,0.463600009679794
Band_202,0.0066999997943639,0.453399986028671
Band_203,0.0066999997943639,0.449999988079071
Band_204,0.0063000000081956,0.435400009155273
Band_205,0.0065000001341104,0.429500013589859
Band_206,0.0060999998822808,0.430200010538101
Band_207,0.0068999999202787,0.448900014162064
Band_208,0.0065999999642372,0.441599994897842
Band_209,0.0074000000022351,0.453700006008148
Band_210,0.0057000000961124,0.446599990129471
Band_211,0.0068999999202787,0.453599989414215
Band_212,0.0035999999381601,0.449000000953674
Band_213,0.006800000090152,0.446700006723404
Band_214,0.0024000001139938,0.429899990558624
Band_215,0.0041000000201165,0.435099989175797
Band_216,0.0010999999940395,0.43299999833107
Band_217,9.99999974737875e-05,0.429100006818771
Band_218,-0.0099999997764825,0.411199986934662
